Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / ALL,Price / ALL,Compare At Price / ALL,Status
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,Ivory Opalescent Stained Glass Table Lamp,"Cast soft lighting in dark corners with this stained glass table lamp.   As a focal point in your study, an accent light in your entryway, or a conversation piece in your favorite reading spot. Everyone has room in their house to make an artistic statement with a stunning piece of Tiffany-styled glass art like this.

Ivory opalescent glass has been heated, softened and curved in a kiln making the body of this Tiffany styled lamp.   A narrow of ribbon of pale moss green a clear glass with an embossed vintage texture trim the bottom of the lamp.

The metal and resin base features a pull chain switch and a dark charcoal finish.

40 watt bulb recommended and included.

The metal trim and solder have been antiqued with a charcoal patina and waxed to keep the finish beautiful for years to come.  Polish with a soft dry cloth.",J Devlin Glass Art & Bert Anderson Collection,,Lamp,"Faire, home decor, new, stained glass, table lamp",TRUE,Title,Default Title,,,,,LAM 589-5 TB,4535.9237,,0,deny,manual,234.95,,TRUE,TRUE,'875761003269,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/3d09465ff93c38b900c57f5c0a6626f68d7d88a04303ead3b7189c81feb84fab.jpg?v=1685014980,1,,FALSE,,,,,,,,,,,,,,,,,lb,,,TRUE,TRUE,,,active
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/2b0b15e2dbba818d547efa91907e74ed6773a64c4e4a232a7752cc8feab83ed0.webp?v=1685014980,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/38ef38dd722a689e52d5421ecc6eba08a47aa64fa68f24411446f052a45e724b.webp?v=1685014980,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/fbad1a6484012496ba2e6e1e9df433dfc1e1c10c4e7b143493de29d5a5b0b30b.webp?v=1685014980,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-opalescent-stained-glass-table-lamp-j-devlin-lam-589-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0745/5739/1157/products/f43e0044819342fb1fb6e0a7263522e557123a8aa57bcf10c835a40206f36593.webp?v=1685014980,5,,,,,,,,,,,,,,,,,,,,,,,,,,
