ID,类型,SKU,名称,已发布,是推荐产品？,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货？,库存,库存不足,允许缺货下单？,单独出售？,重量(公斤),长度(厘米),"宽度 (厘米)","高度 (厘米)",允许客户评价？,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,Components,元数据：_last_editor_used_jetpack,元数据：rwpp_sortorder_51,元数据：_pys_super_pack_cpt_url,元数据：_pys_super_pack_cpt_condition,元数据：_pys_super_pack_cpt_cart,元数据：commercekit_gallery_layout,元数据：commercekit_disable_countdown,元数据：commercekit_disable_inventory,元数据：commercekit_disable_sticky_atc,元数据：send_coupons_on_renewals,元数据：woobt_checked_all,元数据：woobt_separately,元数据：woobt_selection,元数据：woobt_custom_qty,元数据：woobt_sync_qty,元数据：woobt_limit_each_min_default,元数据：woobt_limit_each_min,元数据：woobt_limit_each_max,元数据：woobt_layout,元数据：woobt_position,元数据：woobt_atc_button,元数据：woobt_show_this_item,元数据：shoptimizer_layout_pdp_short_description_position
7246,simple,11,"Electrico Massage",1,0,visible,,"<div class=""product-specs-list-container"">\n<ul class=""product-specs-list util-clearfix"">\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Certification:&nbsp;</span><span class=""property-desc line-limit-length"">CE</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Material:&nbsp;</span><span class=""property-desc line-limit-length"">Composite Material</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Model Number:&nbsp;</span><span class=""property-desc line-limit-length"">004-massager gun</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Size:&nbsp;</span><span class=""property-desc line-limit-length"">Medium</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Item Type:&nbsp;</span><span class=""property-desc line-limit-length"">Massage &amp; Relaxation</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Application:&nbsp;</span><span class=""property-desc line-limit-length"">Body</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Brand Name:&nbsp;</span><span class=""property-desc line-limit-length"">AUREALSUN</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Origin:&nbsp;</span><span class=""property-desc line-limit-length"">Mainland China</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Feature1:&nbsp;</span><span class=""property-desc line-limit-length"">Deep Tissue Massager</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Feature 2:&nbsp;</span><span class=""property-desc line-limit-length"">Therapy Gun masajeador electrico</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Feature 3:&nbsp;</span><span class=""property-desc line-limit-length"">massagers for muscles handheld</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Item Name:&nbsp;</span><span class=""property-desc line-limit-length"">massage gun</span></li>\n</ul>\n</div>\n<div class=""detailmodule_html"">\n<div class=""detail-desc-decorate-richtext"">\n<div><a href=""http://aureals.aliexpress.com/store/group/massage-gun/5733302_517397539.html?spm=2114.12010610.pcShopHead_974518192.1_0_0"" target=""_self"" rel=""noopener""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Ha4a7ea7540254efba5a217261eae071an.jpg""></a><a href=""http://aureals.aliexpress.com/store/top-rated-products/5733302.html?spm=2114.12010612.pcShopHead_974518192.3"" target=""_self"" rel=""noopener""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Hcc28c673014143e29344d9613601836cx.png""></a></div>\n<div>\n<p class=""detail-desc-decorate-title"" style=""font-family:OpenSans;font-size:20px;font-weight:900;line-height:28px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"">Deep Tissue Massager Therapy Gun masajeador electrico massagers for muscles handheld estimulador muscular stimulator body health</p>\n<p class=""detail-desc-decorate-content"" style=""font-family:OpenSans;font-size:14px;font-weight:300;line-height:20px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"">Feature:\n1. ??65dB low noise\nIt is quiet. Whisper quiet when compared to other massage. Compact and lightweight, the massager is designed to be flat, small, and easy to be carried arround. The muscle massager uses pulsating vibrations to provide benefits for health.\n2. 60Hz high frequency stimulation\nThe massager can activate the muscles, stimulate blood flow, greatly reduce muscle recovery time, relieve pain and relax from head to toe.\n3. Equipped with 4 massage heads.\n4 types of massage heads can be switched, custom soft massage heads provide a comfortable massage experience while reducing bone damag.\nThe standard massage head is suitable for small muscle groups.\nThe large massage head is suitable for large muscle groups.\nThe cone-shape massage hear is designed for joint parts, deep tissue, trigger points.\n4. 6-speed shifting, adjustable speed\n6-speed shifting design to meet different massage needs. Allowing you to on deep tissue work, increased circulation, or mobility. Every muscle is different, different shape, size, function.</p>\n\n<div><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H80f344e982db4c5499f773fdb4dfdd0b3.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H92e54cc1e07249c88e85a996d0bc8d91M.png""></div>\n</div>\n<div><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H44821bfa614347c5b48568b756326cdaO.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H2b89f89556a34fc891c4e6c3888a08b25.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Hd16405c229824069b5f3550cbc8fc3c7r.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Haa9a778ebf094d4a92930fac17f5898eb.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Hf33f6c4d804a4f3ca4999bfb77336ef4k.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H24768dbaddab4758b7d220996603c750W.png""><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/H251ac87bc74f454fbd4710532bf9cd7dS.png""></div>\n<div><img class=""detail-desc-decorate-image"" referrerpolicy=""no-referrer"" slate-data-type=""image"" src=""https://ae01.alicdn.com/kf/Hc948ecb12c774bbea68d4b7801de6accJ.png""></div>\n<div>\n<p class=""detail-desc-decorate-content"" style=""font-family:OpenSans;font-size:14px;font-weight:300;line-height:20px;white-space:pre-wrap;color:rgb(0, 0, 0);margin-bottom:12px"">Note:\n1: do not touch or press the massage head during operation.\n2. Do not impact the joint fascia. Generally speaking, it is only applicable to the muscle soft tissue. If you directly impact the joint, it is almost the same as knocking the joint on the stone. It is easy to cause joint damage.\n3. Not all parts are suitable for use. The thickness of the muscles such as the neck and armpits is thin, and it is not recommended to use the fascia gun at the site of the organs and aorta.\n4. The use time in the same position is controlled within 1 minute.\n5. Do not use: infants, minors, pregnant women, Wear pacemakers, fractures or metals in the body should not be used.</p>\n\n</div>\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,0,,39.99,99.99,"All, Spend $50.00 USD\, enjoy up to 1 FREE-GIFT:",,,"https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular-1.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular-2.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular-3.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular-4.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electrico-Massage-Gun-Body-Massager-Deep-Tissue-Stimulator-Therapy-Health-Care-Masajeador-Muscles-Relax-Estimulador-Muscular-5.jpg",,,,,,,,,0,"s:0:"""";",block-editor,0,,only,hidden,,0,0,0,no,off,off,multiple,off,off,off,,,unset,unset,unset,unset,default
7247,simple,22,"Electric Blanket",1,0,visible,,"<div class=""product-specs-list-container"">\n<ul class=""product-specs-list util-clearfix"">\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Voltage (V):?</span><span class=""property-desc line-limit-length"">220V</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Number of Speed Settings:?</span><span class=""property-desc line-limit-length"">Second Gear</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Application:?</span><span class=""property-desc line-limit-length"">&lt;10?O</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Heating Element:?</span><span class=""property-desc line-limit-length"">Heating Wire</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Model Number:?</span><span class=""property-desc line-limit-length"">Electric blanket</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Area Heated:?</span><span class=""property-desc line-limit-length"">&lt;20?O</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function:?</span><span class=""property-desc line-limit-length"">Adjustable Thermostat</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Certification:?</span><span class=""property-desc line-limit-length"">CE,RoHS</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Installation:?</span><span class=""property-desc line-limit-length"">Freestanding</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Power:?</span><span class=""property-desc line-limit-length"">&lt;800W</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Use:?</span><span class=""property-desc line-limit-length"">Bedroom</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Electric Heater Type:?</span><span class=""property-desc line-limit-length"">Electric Membrane Type</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Brand Name:?</span><span class=""property-desc line-limit-length"">wsxtcun</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Origin:?</span><span class=""property-desc line-limit-length"">Mainland China</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 1:?</span><span class=""property-desc line-limit-length"">electric blankets for beds</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 2:?</span><span class=""property-desc line-limit-length"">heated blanket</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 3:?</span><span class=""property-desc line-limit-length"">heating blanket</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 4:?</span><span class=""property-desc line-limit-length"">electric heating blanket</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 5:?</span><span class=""property-desc line-limit-length"">manta termica electrica</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 6:?</span><span class=""property-desc line-limit-length"">heat blanket</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 7:?</span><span class=""property-desc line-limit-length"">Heater for home</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 8:?</span><span class=""property-desc line-limit-length"">heater electrics</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 9:?</span><span class=""property-desc line-limit-length"">Antifreeze heater</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 10:?</span><span class=""property-desc line-limit-length"">induction heater</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 11:?</span><span class=""property-desc line-limit-length"">Bathroom heater</span></li>\n 	<li class=""product-prop line-limit-length""><span class=""property-title"">Function 12:?</span><span class=""property-desc line-limit-length"">Heater for feet</span></li>\n</ul>\n</div>\n<div class=""detailmodule_html"">\n<div class=""detailmodule_html"">\n<div class=""detail-desc-decorate-richtext""></div>\n<div>Electric Blanket Heaters Thicker Heater Double Body Warmer 150*180cm Heated Blanket Thermostat</div>\n<div>\n<div><img src=""https://ae01.alicdn.com/kf/S3be963e8c5184cb2a7e859db9322cb1cj.jpg"" /> <img src=""https://ae01.alicdn.com/kf/Sc034736e4e2446e497ede59ad4f96df7N.jpg"" /> ?<img src=""https://ae01.alicdn.com/kf/S845bd2e8d1c4495da85e611d7dcb4e81H.png"" /></div>\n<div>\n<p class=""detail-desc-decorate-title"" style=""font-family: OpenSans; font-size: 20px; font-weight: 900; line-height: 28px; white-space: pre-wrap; color: #000000; margin-bottom: 12px;"">When heating, please put a layer in the quilt or put a layer on top of the product to keep warm. This will be much faster. If it is not heated for a long time, please contact customer service</p>\n<p class=""detail-desc-decorate-content"" style=""font-family: OpenSans; font-size: 14px; font-weight: 300; line-height: 20px; white-space: pre-wrap; color: #000000; margin-bottom: 12px;"">Features:\n1. Provide you warm feeling in your bed.\n2. Adjustable temperature. High/Low/Off for manual selection.\n3. Independent personal control, the temperature of left area and right area can be controlled separately.\n4. Using waterproof fabric and flame-retardant material. No afraid of power leakage, safe and comnfortable.\nSize:\n150*180cm is for 2 Body ,2 Area Temperture Control\n120*150cm is for 2 Body ,1 Area Temperture Control\n70*150cm is for 1 Body ,1 Area Temperture Control\nSpecifications:\n1. Color: Red and White Stripes\n2. Blanket Material: Non-woven Fabric\n3. Rated Voltage: 220V\n4.EU Plug ( or US UK AU Adapter)\n4. Size: 150*180CM/120*150CM/70*150CM\n5. Rated Power:50-150w\nPackage Included:\n1*Electric Heated Blanket\nNote:\n1. Please cut the power manually after heating.\n2. We will send you an adapter according to your country.\n3. Due to the different monitor and light effect, the actual color of the item might be slightly different from the color showed on the pictures.\n4. Please allow a little error due to manual measurement,About 1-3cm.</p>\n\n<ul>\n 	<li>\n<div><span style=""background-color: #fcdc00; color: #009ce0;"">Please note that the color of the electric blanket is shipped randomly, if you mind, please don't shoot, thank you!</span> <img src=""https://ae01.alicdn.com/kf/Sf2737cada13245e78d756f0ef41fbea9U.png"" /> <img src=""https://ae01.alicdn.com/kf/Sa6a814a6eb03478bb5a31e3f898fc9d9c.png"" /> <img src=""https://ae01.alicdn.com/kf/Sb759d97941ae4fb7a87578117b5287ffl.jpg"" /> <img src=""https://ae01.alicdn.com/kf/Sd38fce2fb7914aa48e311831c1635551K.png"" /> <img src=""https://ae01.alicdn.com/kf/S7904d314633c4203b671cc2a8a5b367dY.png"" /></div></li>\n</ul>\n</div>\n<div><img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/Hc4210160aa39425ea57f1520f8886885d.jpg"" /> <img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H637953b26d334c81a6ee8d7e10828d31S.jpg"" /></div>\n<div><img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H7976ea66260b4a9081ae56dab27a5aa3E.jpg"" /> <img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H95a0cf917dad4acebeed5e9e1b6bd03fn.jpg"" /></div>\n<div><img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H9026a61846ba4777aea174995789d726K.jpg"" /> <img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H4a46e612a1214cce9c3708092d6562f9Y.jpg"" /> <img class=""detail-desc-decorate-image"" src=""https://ae01.alicdn.com/kf/H865e6b7fca634276a23ee228360fd341C.jpg"" /></div>\n<div></div>\n<div><img src=""https://ae01.alicdn.com/kf/S4fcde747e40444f8b02fd8b87a522203o.jpg"" /> <img src=""https://ae01.alicdn.com/kf/S8a693dba8d3b4fdd8ec0dabb55e7dd46D.png"" /> <img src=""https://ae01.alicdn.com/kf/S3440a91de1f14ae1ac76475479a749afq.jpg"" /></div>\n<div>\n<p class=""detail-desc-decorate-content"" style=""font-family: OpenSans; font-size: 14px; font-weight: 300; line-height: 20px; white-space: pre-wrap; color: #000000; margin-bottom: 12px;"">About feedback\nIf you are satisfied with our products, Pls give us 5 Stars\nYour satisfaction and positive feedback is very important to us. Please leave positive feedback and 5 stars, if you are satisfied with our items and services. If you have any problems with our items or services, please feel free to contact us first ,before you leave negative feedback. We will do our best to solve any problem and provide you with the best customer services. We will give you a positive feedback after receiving the payment. If you are unsatisfied with your items, please contact our Customer Service.\nWe maintain high standards of excellence and strive for 100% customer satisfaction! Feedback is very important We request that you contact us immediately BEFORE you give us neutral or negative feedback, so that we can satisfactorily address your concerns.\nIt is impossible to address issues if we do not know about them!</p>\n\n</div>\n<div></div>\n</div>\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,0,,39.99,99.99,"Spend $50.00 USD\, enjoy up to 1 FREE-GIFT:",,,"https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket-1.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket-2.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket-3.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket-4.jpg, https://cdn.jsdelivr.net/gh/spten/img/wp-content/uploads/pic/Electric-Blanket-Heaters-Thicker-Heater-Double-Body-Warmer-150-180cm-Heated-Blanket-Thermostat-Electric-Heating-Blanket-5.jpg",,,,,,,,,0,"s:0:"""";",,,,,,,,,,,,,,,,,,,,,,,
